"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.5,0.24260249054620395,0.22367037914356222,0.0,0.8499474407455364,0.0,1,0
1.0,0.8559157104235341,0.39731231978089954,0.0,1.509786815167418,0.0,1,0
1.5,1.7570226502499113,0.5321157017206598,0.0,2.022039666538507,0.0,1,0
2.0,2.8815523795691957,0.6367675601121193,0.0,2.4197167284260535,0.0,1,0
2.5,4.179531838346197,0.7180118976590828,0.0,2.7284452111045145,0.0,1,0
3.0,5.61216545983076,0.7810842834236493,0.0,2.9681202770098674,0.0,1,0
3.5,7.149335096396824,0.8300492447507664,0.0,3.154187130052912,0.0,1,0
4.0,8.767659137916954,0.8680621946130972,0.0,3.2986363395297693,0.0,1,0
4.5,10.448985747865903,0.8975727735673552,0.0,3.4107765395559495,0.0,1,0
5.0,12.179223117876179,0.9204827101381684,0.0,3.49783429852504,0.0,1,0
5.5,13.947431359700666,0.9382683725100329,0.0,3.565419815538125,0.0,1,0
6.0,15.745117514044265,0.952075909035863,0.0,3.6178884543362795,0.0,1,0
6.5,17.56568824503746,0.9627951086319221,0.0,3.658621412801304,0.0,1,0
7.0,19.40402495074451,0.9711167407902151,0.0,3.6902436150028173,0.0,1,0
7.5,21.256153908865308,0.9775770703285696,0.0,3.714792867248564,0.0,1,0
8.0,23.118990201073224,0.9825924155096878,0.0,3.7338511789368134,0.0,1,0
8.5,24.990138913893375,0.9864859765326097,0.0,3.748646710823917,0.0,1,0
9.0,26.867740805055828,0.989508663285316,0.0,3.7601329204842004,0.0,1,0
9.5,28.750352489714075,0.991855264546012,0.0,3.7690500052748455,0.0,1,0
10.0,30.63685342545747,0.9936770006130297,0.0,3.7759726023295124,0.0,1,0
10.5,32.526373702021225,0.9950912682832378,0.0,3.7813468194763034,0.0,1,0
11.0,34.41823798229929,0.9961892061674401,0.0,3.785518983436272,0.0,1,0
11.5,36.311921982092166,0.9970415678688067,0.0,3.788757957901465,0.0,1,0
12.0,38.20701868404604,0.9977032815052613,0.0,3.791272469719993,0.0,1,0
12.5,40.103212108532944,0.9982169894017655,0.0,3.793224559726709,0.0,1,0
13.0,42.0002569512081,0.9986157960582895,0.0,3.7947400250215,0.0,1,0
13.5,43.897962775042544,0.998925401478744,0.0,3.795916525619227,0.0,1,0
14.0,45.796181738129754,0.9991657573374204,0.0,3.7968298778821974,0.0,1,0
14.5,47.69479906641851,0.9993523527100574,0.0,3.797538940298218,0.0,1,0
15.0,49.59372565741316,0.9994972122249501,0.0,3.7980894064548103,0.0,1,0
15.5,51.49289233820701,0.9996096709572244,0.0,3.798516749637453,0.0,1,0
16.0,53.392245407823644,0.9996969760022126,0.0,3.798848508808408,0.0,1,0
16.5,55.29174317660441,0.9997647534946873,0.0,3.7991060632798117,0.0,1,0
17.0,57.1913532796324,0.9998173711697227,0.0,3.799306010444946,0.0,1,0
17.5,59.09105059106395,0.9998582198294332,0.0,3.799461235351846,0.0,1,0
18.0,60.990815604962364,0.9998899318539389,0.0,3.799581741044968,0.0,1,0
18.5,62.89063317829121,0.9999145508379,0.0,3.79967529318402,0.0,1,0
19.0,64.79049155506276,0.9999336632843846,0.0,3.7997479204806615,0.0,1,0
19.5,66.69038160875553,0.9999485008427175,0.0,3.7998043032023263,0.0,1,0
20.0,68.59029625418052,0.9999600196787525,0.0,3.799848074779259,0.0,1,0
20.5,70.49022999089566,0.9999689620923643,0.0,3.799882055950984,0.0,1,0
21.0,72.39017854874484,0.999975904352933,0.0,3.7999084365411453,0.0,1,0
21.5,74.2901386126794,0.9999812938354483,0.0,3.799928916574703,0.0,1,0
