time,tank1_level,tank2_level,v1_cmd,v2_cmd,v3_cmd,q_transfer
0.0,0.0,0.0,1,0,0,0.0
1.0,3.9999999999999996,0.0,1,0,0,0.0
2.0,8.000000000000002,0.0,1,0,0,0.0
3.0,12.000000000000005,0.0,1,0,0,0.0
4.0,16.000000000000007,0.0,1,0,0,0.0
5.0,19.999999999999993,0.0,1,0,0,0.0
6.0,23.99999999999998,0.0,1,0,0,0.0
7.0,27.999999999999964,0.0,1,0,0,0.0
8.0,31.99999999999995,0.0,1,0,0,0.0
9.0,35.999999999999936,0.0,1,0,0,0.0
10.0,39.99999999999992,0.0,1,0,0,0.0
11.0,43.99999999999991,0.0,1,0,0,0.0
12.0,47.99999999999989,0.0,1,0,0,0.0
13.0,51.99999999999988,0.0,1,0,0,0.0
14.0,55.999999999999865,0.0,1,0,0,0.0
15.0,59.99999999999985,0.0,1,0,0,0.0
16.0,63.99999999999984,0.0,1,0,0,0.0
17.0,67.99999999999989,0.0,1,0,0,0.0
18.0,71.99999999999994,0.0,1,0,0,0.0
19.0,76.0,0.0,1,0,0,0.0
20.0,80.00000000000006,0.0,1,0,0,0.0
21.0,84.00000000000011,0.0,1,0,0,0.0
22.0,88.00000000000017,0.0,1,0,0,0.0
23.0,92.00000000000023,0.0,1,0,0,0.0
24.0,96.00000000000028,0.0,1,0,0,0.0
25.0,100.00000000000034,0.0,1,0,0,0.0
26.0,104.0000000000004,0.0,1,0,0,0.0
27.0,108.00000000000045,0.0,1,0,0,0.0
28.0,112.00000000000051,0.0,1,0,0,0.0
29.0,116.00000000000057,0.0,1,0,0,0.0
30.0,120.00000000000063,0.0,1,0,0,0.0
31.0,119.00000000000068,5.0,1,1,0,5.0
32.0,118.00000000000074,10.0,1,1,0,5.0
33.0,117.0000000000008,15.0,1,1,0,5.0
34.0,116.00000000000085,20.0,1,1,0,5.0
35.0,115.00000000000091,25.0,1,1,0,5.0
36.0,114.00000000000097,30.0,1,1,0,5.0
37.0,113.00000000000102,35.0,1,1,0,5.0
38.0,112.00000000000108,40.0,1,1,0,5.0
39.0,111.00000000000114,45.0,1,1,0,5.0
40.0,110.0000000000012,50.0,1,1,0,5.0
41.0,109.00000000000125,55.0,1,1,0,5.0
42.0,108.00000000000131,60.0,1,1,0,5.0
43.0,107.00000000000136,65.0,1,1,0,5.0
44.0,106.00000000000142,70.0,1,1,0,5.0
45.0,105.00000000000148,75.0,1,1,0,5.0
46.0,104.00000000000153,80.0,1,1,0,5.0
47.0,103.00000000000159,85.0,1,1,0,5.0
48.0,102.00000000000165,90.0,1,1,0,5.0
49.0,101.0000000000017,95.0,1,1,0,5.0
50.0,100.00000000000176,100.0,1,1,0,5.0
51.0,99.00000000000182,105.0,1,1,0,5.0
52.0,98.00000000000188,110.0,1,1,0,5.0
